Year,Landuse,Sex,presence,number
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Cropland,F,0,0
2006,Grassland,F,0,0
2006,Grassland,F,0,0
2006,Grassland,F,0,0
2006,Grassland,F,0,0
2006,Grassland,F,0,0
2006,Grassland,F,0,0
2006,Grassland,F,0,6
2006,Grassland,F,0,0
2006,Grassland,F,0,0
2006,Cropland,F,1,1
2006,Cropland,F,1,1
2006,Cropland,F,1,16
2006,Cropland,F,1,16
2006,Cropland,F,1,7
2006,Cropland,F,1,33
2006,Grassland,F,1,6
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Cropland,M,0,0
2006,Grassland,M,0,0
2006,Grassland,M,0,0
2006,Grassland,M,0,0
2006,Grassland,M,0,0
2006,Grassland,M,0,0
2006,Cropland,M,1,1
2006,Cropland,M,1,6
2006,Cropland,M,1,40
2006,Cropland,M,1,11
2006,Cropland,M,1,25
2006,Cropland,M,1,15
2006,Cropland,M,1,20
2006,Cropland,M,1,1
2006,Cropland,M,1,21
2006,Grassland,M,1,1
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Cropland,F,0,0
2007,Grassland,F,0,0
2007,Grassland,F,0,0
2007,Grassland,F,0,0
2007,Grassland,F,0,0
2007,Grassland,F,0,0
2007,Grassland,F,0,0
2007,Cropland,F,1,18
2007,Cropland,F,1,25.5
2007,Cropland,F,1,4.5
2007,Cropland,F,1,25.5
2007,Cropland,F,1,37.5
2007,Grassland,F,1,25.5
2007,Grassland,F,1,12
2007,Grassland,F,1,9
2007,Grassland,F,1,4.5
2007,Grassland,F,1,6
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Cropland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Grassland,M,0,0
2007,Cropland,M,1,1
2007,Cropland,M,1,20
2007,Cropland,M,1,7.5
2007,Cropland,M,1,7.5
2007,Cropland,M,1,12
2007,Cropland,M,1,9
2007,Cropland,M,1,3
2007,Cropland,M,1,1.5
2007,Cropland,M,1,13.5
2007,Cropland,M,1,15
2007,Cropland,M,1,9
2007,Cropland,M,1,30
2007,Grassland,M,1,27
2007,Grassland,M,1,10.5
2007,Grassland,M,1,6
2007,Grassland,M,1,16.5
2007,Grassland,M,1,1.5
2007,Grassland,M,1,33
2007,Grassland,M,1,33
2007,Grassland,M,1,39
2007,Grassland,M,1,1.5
2007,Grassland,M,1,10.5
2007,Grassland,M,1,1.5
2007,Grassland,M,1,13.5
